#tstp   Ax    Ay
-1  0  0
0  -4.93633e-06  -4.93633e-06
1  -5.06596e-06  -5.06596e-06
2  -5.19694e-06  -5.19694e-06
3  -5.32921e-06  -5.32921e-06
4  -5.46271e-06  -5.46271e-06
5  -5.59735e-06  -5.59735e-06
6  -5.73307e-06  -5.73307e-06
7  -5.86979e-06  -5.86979e-06
8  -6.00742e-06  -6.00742e-06
9  -6.14587e-06  -6.14587e-06
10  -6.28504e-06  -6.28504e-06
11  -6.42485e-06  -6.42485e-06
12  -6.56518e-06  -6.56518e-06
13  -6.70593e-06  -6.70593e-06
14  -6.84698e-06  -6.84698e-06
15  -6.98821e-06  -6.98821e-06
16  -7.12949e-06  -7.12949e-06
17  -7.27069e-06  -7.27069e-06
18  -7.41168e-06  -7.41168e-06
19  -7.55231e-06  -7.55231e-06
20  -7.69242e-06  -7.69242e-06
21  -7.83187e-06  -7.83187e-06
22  -7.97049e-06  -7.97049e-06
23  -8.10811e-06  -8.10811e-06
24  -8.24455e-06  -8.24455e-06
25  -8.37963e-06  -8.37963e-06
26  -8.51317e-06  -8.51317e-06
27  -8.64495e-06  -8.64495e-06
28  -8.77479e-06  -8.77479e-06
29  -8.90246e-06  -8.90246e-06
30  -9.02774e-06  -9.02774e-06
31  -9.15042e-06  -9.15042e-06
32  -9.27024e-06  -9.27024e-06
33  -9.38698e-06  -9.38698e-06
34  -9.50038e-06  -9.50038e-06
35  -9.61018e-06  -9.61018e-06
36  -9.71612e-06  -9.71612e-06
37  -9.81791e-06  -9.81791e-06
38  -9.91527e-06  -9.91527e-06
39  -1.00079e-05  -1.00079e-05
40  -1.00955e-05  -1.00955e-05
41  -1.01778e-05  -1.01778e-05
42  -1.02545e-05  -1.02545e-05
43  -1.03251e-05  -1.03251e-05
44  -1.03895e-05  -1.03895e-05
45  -1.04472e-05  -1.04472e-05
46  -1.04978e-05  -1.04978e-05
47  -1.05411e-05  -1.05411e-05
48  -1.05766e-05  -1.05766e-05
49  -1.0604e-05  -1.0604e-05
50  -1.06229e-05  -1.06229e-05
51  -1.06328e-05  -1.06328e-05
52  -1.06334e-05  -1.06334e-05
53  -1.06242e-05  -1.06242e-05
54  -1.06048e-05  -1.06048e-05
55  -1.05747e-05  -1.05747e-05
56  -1.05336e-05  -1.05336e-05
57  -1.04809e-05  -1.04809e-05
58  -1.04162e-05  -1.04162e-05
59  -1.0339e-05  -1.0339e-05
60  -1.02488e-05  -1.02488e-05
61  -1.01451e-05  -1.01451e-05
62  -1.00274e-05  -1.00274e-05
63  -9.89522e-06  -9.89522e-06
64  -9.74797e-06  -9.74797e-06
65  -9.58514e-06  -9.58514e-06
66  -9.40619e-06  -9.40619e-06
67  -9.21056e-06  -9.21056e-06
68  -8.99769e-06  -8.99769e-06
69  -8.767e-06  -8.767e-06
70  -8.51791e-06  -8.51791e-06
71  -8.24984e-06  -8.24984e-06
72  -7.96218e-06  -7.96218e-06
73  -7.65433e-06  -7.65433e-06
74  -7.32568e-06  -7.32568e-06
75  -6.97559e-06  -6.97559e-06
76  -6.60345e-06  -6.60345e-06
77  -6.2086e-06  -6.2086e-06
78  -5.79042e-06  -5.79042e-06
79  -5.34824e-06  -5.34824e-06
80  -4.88142e-06  -4.88142e-06
81  -4.38927e-06  -4.38927e-06
82  -3.87115e-06  -3.87115e-06
83  -3.32636e-06  -3.32636e-06
84  -2.75423e-06  -2.75423e-06
85  -2.15407e-06  -2.15407e-06
86  -1.5252e-06  -1.5252e-06
87  -8.66912e-07  -8.66912e-07
88  -1.78518e-07  -1.78518e-07
89  5.40685e-07  5.40685e-07
90  1.2914e-06  1.2914e-06
91  2.07433e-06  2.07433e-06
92  2.89019e-06  2.89019e-06
93  3.73968e-06  3.73968e-06
94  4.6235e-06  4.6235e-06
95  5.54238e-06  5.54238e-06
96  6.497e-06  6.497e-06
97  7.48809e-06  7.48809e-06
98  8.51633e-06  8.51633e-06
99  9.58244e-06  9.58244e-06
100  1.06871e-05  1.06871e-05
101  1.1831e-05  1.1831e-05
102  1.30149e-05  1.30149e-05
103  1.42393e-05  1.42393e-05
104  1.55051e-05  1.55051e-05
105  1.68128e-05  1.68128e-05
106  1.81631e-05  1.81631e-05
107  1.95567e-05  1.95567e-05
108  2.09942e-05  2.09942e-05
109  2.24763e-05  2.24763e-05
110  2.40034e-05  2.40034e-05
111  2.55763e-05  2.55763e-05
112  2.71955e-05  2.71955e-05
113  2.88617e-05  2.88617e-05
114  3.05753e-05  3.05753e-05
115  3.23368e-05  3.23368e-05
116  3.41469e-05  3.41469e-05
117  3.6006e-05  3.6006e-05
118  3.79145e-05  3.79145e-05
119  3.9873e-05  3.9873e-05
120  4.18818e-05  4.18818e-05
121  4.39414e-05  4.39414e-05
122  4.60521e-05  4.60521e-05
123  4.82143e-05  4.82143e-05
124  5.04283e-05  5.04283e-05
125  5.26944e-05  5.26944e-05
126  5.50129e-05  5.50129e-05
127  5.73839e-05  5.73839e-05
128  5.98077e-05  5.98077e-05
129  6.22843e-05  6.22843e-05
130  6.4814e-05  6.4814e-05
131  6.73968e-05  6.73968e-05
132  7.00327e-05  7.00327e-05
133  7.27216e-05  7.27216e-05
134  7.54636e-05  7.54636e-05
135  7.82586e-05  7.82586e-05
136  8.11063e-05  8.11063e-05
137  8.40066e-05  8.40066e-05
138  8.69592e-05  8.69592e-05
139  8.99638e-05  8.99638e-05
140  9.302e-05  9.302e-05
141  9.61275e-05  9.61275e-05
142  9.92856e-05  9.92856e-05
143  0.000102494  0.000102494
144  0.000105752  0.000105752
145  0.000109059  0.000109059
146  0.000112414  0.000112414
147  0.000115816  0.000115816
148  0.000119265  0.000119265
149  0.000122759  0.000122759
150  0.000126298  0.000126298
151  0.00012988  0.00012988
152  0.000133504  0.000133504
153  0.000137169  0.000137169
154  0.000140874  0.000140874
155  0.000144616  0.000144616
156  0.000148396  0.000148396
157  0.00015221  0.00015221
158  0.000156058  0.000156058
159  0.000159937  0.000159937
160  0.000163845  0.000163845
161  0.000167781  0.000167781
162  0.000171743  0.000171743
163  0.000175728  0.000175728
164  0.000179734  0.000179734
165  0.000183758  0.000183758
166  0.000187799  0.000187799
167  0.000191852  0.000191852
168  0.000195917  0.000195917
169  0.000199989  0.000199989
170  0.000204066  0.000204066
171  0.000208145  0.000208145
172  0.000212223  0.000212223
173  0.000216295  0.000216295
174  0.00022036  0.00022036
175  0.000224412  0.000224412
176  0.00022845  0.00022845
177  0.000232467  0.000232467
178  0.000236462  0.000236462
179  0.000240428  0.000240428
180  0.000244364  0.000244364
181  0.000248263  0.000248263
182  0.000252121  0.000252121
183  0.000255935  0.000255935
184  0.000259698  0.000259698
185  0.000263407  0.000263407
186  0.000267055  0.000267055
187  0.000270638  0.000270638
188  0.000274151  0.000274151
189  0.000277587  0.000277587
190  0.000280942  0.000280942
191  0.000284209  0.000284209
192  0.000287383  0.000287383
193  0.000290457  0.000290457
194  0.000293425  0.000293425
195  0.000296281  0.000296281
196  0.000299018  0.000299018
197  0.00030163  0.00030163
198  0.000304109  0.000304109
199  0.000306449  0.000306449
200  0.000308643  0.000308643
201  0.000310682  0.000310682
202  0.00031256  0.00031256
203  0.00031427  0.00031427
204  0.000315803  0.000315803
205  0.000317151  0.000317151
206  0.000318306  0.000318306
207  0.000319261  0.000319261
208  0.000320006  0.000320006
209  0.000320534  0.000320534
210  0.000320836  0.000320836
211  0.000320902  0.000320902
212  0.000320725  0.000320725
213  0.000320294  0.000320294
214  0.000319601  0.000319601
215  0.000318637  0.000318637
216  0.000317392  0.000317392
217  0.000315856  0.000315856
218  0.00031402  0.00031402
219  0.000311874  0.000311874
220  0.000309407  0.000309407
221  0.000306611  0.000306611
222  0.000303475  0.000303475
223  0.000299988  0.000299988
224  0.00029614  0.00029614
225  0.000291921  0.000291921
226  0.00028732  0.00028732
227  0.000282326  0.000282326
228  0.000276929  0.000276929
229  0.000271118  0.000271118
230  0.000264882  0.000264882
231  0.000258211  0.000258211
232  0.000251092  0.000251092
233  0.000243515  0.000243515
234  0.000235469  0.000235469
235  0.000226943  0.000226943
236  0.000217926  0.000217926
237  0.000208406  0.000208406
238  0.000198372  0.000198372
239  0.000187814  0.000187814
240  0.000176718  0.000176718
241  0.000165076  0.000165076
242  0.000152875  0.000152875
243  0.000140103  0.000140103
244  0.000126751  0.000126751
245  0.000112807  0.000112807
246  9.82596e-05  9.82596e-05
247  8.3098e-05  8.3098e-05
248  6.73113e-05  6.73113e-05
249  5.08889e-05  5.08889e-05
250  3.38198e-05  3.38198e-05
251  1.60935e-05  1.60935e-05
252  -2.30044e-06  -2.30044e-06
253  -2.13724e-05  -2.13724e-05
254  -4.11327e-05  -4.11327e-05
255  -6.15913e-05  -6.15913e-05
256  -8.2758e-05  -8.2758e-05
257  -0.000104643  -0.000104643
258  -0.000127255  -0.000127255
259  -0.000150604  -0.000150604
260  -0.000174698  -0.000174698
261  -0.000199547  -0.000199547
262  -0.00022516  -0.00022516
263  -0.000251543  -0.000251543
264  -0.000278707  -0.000278707
265  -0.000306657  -0.000306657
266  -0.000335403  -0.000335403
267  -0.000364949  -0.000364949
268  -0.000395305  -0.000395305
269  -0.000426475  -0.000426475
270  -0.000458466  -0.000458466
271  -0.000491283  -0.000491283
272  -0.000524932  -0.000524932
273  -0.000559418  -0.000559418
274  -0.000594744  -0.000594744
275  -0.000630914  -0.000630914
276  -0.000667932  -0.000667932
277  -0.000705801  -0.000705801
278  -0.000744522  -0.000744522
279  -0.000784099  -0.000784099
280  -0.000824531  -0.000824531
281  -0.000865819  -0.000865819
282  -0.000907964  -0.000907964
283  -0.000950966  -0.000950966
284  -0.000994821  -0.000994821
285  -0.00103953  -0.00103953
286  -0.00108509  -0.00108509
287  -0.00113149  -0.00113149
288  -0.00117874  -0.00117874
289  -0.00122683  -0.00122683
290  -0.00127575  -0.00127575
291  -0.0013255  -0.0013255
292  -0.00137606  -0.00137606
293  -0.00142744  -0.00142744
294  -0.00147962  -0.00147962
295  -0.0015326  -0.0015326
296  -0.00158635  -0.00158635
297  -0.00164088  -0.00164088
298  -0.00169617  -0.00169617
299  -0.0017522  -0.0017522
300  -0.00180897  -0.00180897
301  -0.00186645  -0.00186645
302  -0.00192463  -0.00192463
303  -0.0019835  -0.0019835
